"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"540","mDCs_MAPKAPK2_IL246",-51.2349363177269,-49.7217066840274,0.325785244980387,-1.41212588330338e-05,-0.00147661997901314,"linear","linear"
"541","mDCs_MAPKAPK2_LPS",-10.2257529174272,-8.25874713010915,0.149368023004659,-1.60329021235834e-05,-0.0039051713474937,"linear","linear"
"542","mDCs_MAPKAPK2_unstim",-44.2594307905254,-42.2643849964007,0.862574387708575,-1.84339219164084e-06,-0.000230491915134813,"linear","linear"
"543","mDCs_NFkB_GMCSF",-42.4598868050509,-40.7872989668271,0.154005578752983,1.58889128403226e-05,0.000351055401075304,"linear","linear"
"544","mDCs_NFkB_IFNa",-56.0117848019225,-55.3096636308983,0.305465844562995,1.91652060061048e-05,0.00107504451727878,"linear","linear"
"545","mDCs_NFkB_IL246",-58.0896123314809,-56.1276627007765,0.156230741661284,3.11558987774306e-06,-0.000245568660464735,"linear","linear"
"546","mDCs_NFkB_LPS",-67.7650966922464,-66.0981177032382,0.284362524821472,-6.48996531764765e-06,-0.000739452230225872,"linear","linear"
"547","mDCs_NFkB_unstim",-95.3292992420676,-94.3804797488922,0.388653473303566,4.25389282313024e-06,0.000244747062287446,"linear","linear"
"548","mDCs_p38_GMCSF",-52.2607075897072,-50.558995746696,0.220425946194429,1.06923707199607e-05,0.00130868523061465,"linear","linear"
"549","mDCs_p38_IL246",-56.3073672509269,-57.4765606682006,0.287926805664817,-2.86852947540426e-05,-0.00215489026858169,"quadratic","deceleration/increase"
"550","mDCs_p38_LPS",-8.0267860668169,-7.79584427570567,0.201306347390538,0.000123155044203919,0.0118210019841121,"linear","linear"
"551","mDCs_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"552","mDCs_S6_GMCSF",-46.8454008159139,-44.8959977668293,0.736647276143662,-5.36697169362603e-06,-0.000566570127769816,"linear","linear"
"553","mDCs_S6_IFNa",-54.8981279317349,-53.6449439908589,0.484160463106952,-1.52755994346709e-05,-0.000891698857324306,"linear","linear"
"554","mDCs_S6_IL246",-46.9120814957422,-45.2626416749075,0.653399451432397,-1.40182381365286e-05,-0.00127149863224781,"linear","linear"
"555","mDCs_S6_LPS",-37.1542467675057,-36.5712701288198,0.566028950728241,-3.91891662468354e-05,-0.00255063356433142,"linear","linear"
"556","mDCs_S6_unstim",-29.7140555591604,-29.4579028815131,0.347388090144664,5.63827215772239e-05,0.00338393177596508,"linear","linear"
"557","mDCs_STAT1_IFNa",-2.80494179556392,-0.819713189909512,0.0172884225475937,1.39876869447602e-05,0.00735578881593408,"linear","linear"
"558","mDCs_STAT1_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"559","mDCs_STAT3_GMCSF",-29.7772329287302,-27.9195189974084,0.444818957548498,-1.65300503760533e-05,-0.000553829226832538,"linear","linear"
"560","mDCs_STAT3_IFNa",-24.4387227187975,-22.5228118405697,0.257322387189078,1.53927662416339e-05,0.00241174482102291,"linear","linear"
"561","mDCs_STAT3_IL246",34.2727366803077,35.7590727805478,0.813306804655539,0.000307334828708349,0.0210301426223642,"linear","linear"
"562","mDCs_STAT3_unstim",-12.4382260083969,-10.468505732109,0.746803585110971,1.41929820101234e-05,0.00160196295201791,"linear","linear"
"563","mDCs_STAT5_GMCSF",-9.46969451497491,-8.01361981923823,0.174948099901202,6.62736590590787e-05,0.00238602883394515,"linear","linear"
"564","mDCs_STAT5_IFNa",-15.1432908773844,-13.7606628490373,0.361634606360227,5.75809329606682e-05,0.00293412974452054,"linear","linear"
"565","mDCs_STAT5_IL246",-14.6391800248722,-14.7246828307274,0.351742744516104,0.000105009130127187,0.00683286279694842,"quadratic","deceleration/decrease"
"566","mDCs_STAT5_unstim",-61.6069648048585,-59.848962500417,0.710798697765891,6.90448797437534e-06,0.000412821007045443,"linear","linear"
"567","mDCs_STAT6_IFNa",6.32217354204133,7.45206353838449,0.464213837031813,0.000146483963976203,0.00861901094290141,"linear","linear"
"568","mDCs_STAT6_IL246",5.55678088871434,5.70183400407489,0.149385094913905,0.000204542380817135,0.0106322791389296,"linear","linear"
"569","mDCs_STAT6_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"570","MDSCs_CREB_GMCSF",-32.3259972189661,-30.3902344350408,0.370774969747277,-1.01544927809123e-05,-2.32277192104177e-05,"linear","linear"
"571","MDSCs_CREB_IFNa",-27.7317722477587,-30.1875930911709,0.0851969377027774,-9.23305105120713e-05,-0.00573269653620659,"quadratic","deceleration/increase"
"572","MDSCs_CREB_IL246",-17.0891383311541,-17.1338745317136,0.447776104059161,-9.53341678168101e-05,-0.00719319364910268,"quadratic","deceleration/increase"
"573","MDSCs_CREB_LPS",-25.7312738130003,-23.7884640011292,0.562779566149665,-1.21274034318851e-05,-0.000312110691089661,"linear","linear"
"574","MDSCs_CREB_unstim",-39.3825074214609,-38.002794810157,0.905513118412387,2.42837911967674e-05,0.00175048968989504,"linear","linear"
"575","MDSCs_ERK_GMCSF",-40.8953995720836,-40.674913803928,0.650762497448876,3.81806487458484e-05,0.00259805010234353,"linear","linear"
"576","MDSCs_ERK_IFNa",-Inf,-Inf,NA,0,0,"linear","linear"
"577","MDSCs_ERK_IL246",-62.8952773281254,-62.9575754450062,0.338051430348231,-1.86421450783273e-05,-0.00161068196058138,"quadratic","deceleration/increase"
"578","MDSCs_ERK_LPS",-35.9636354467393,-34.0933462860966,0.312333678034377,1.26568078069843e-05,0.00168866820513686,"linear","linear"
"579","MDSCs_ERK_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"580","MDSCs_IkB_GMCSF",-53.2401711760327,-52.0319564350334,0.0917665718275649,1.66749813274109e-05,0.000562346347631669,"linear","linear"
"581","MDSCs_IkB_IFNa",-45.2553743255519,-45.8616302874888,0.274148246106877,3.89790592187167e-05,0.00254027895417327,"quadratic","deceleration/decrease"
"582","MDSCs_IkB_IL246",-52.9166209439433,-51.6099868576248,0.516634314511829,1.58131301669381e-05,0.000933781077737636,"linear","linear"
"583","MDSCs_IkB_LPS",-40.6237801941349,-39.2516531071679,0.915001170947762,-2.33692467758401e-05,-0.00182124902722898,"linear","linear"
"584","MDSCs_IkB_unstim",-40.6237801941349,-39.2516531071679,0.915001170947762,2.33692467758401e-05,0.00182124902722898,"linear","linear"
"585","MDSCs_MAPKAPK2_GMCSF",-15.4603337913343,-17.6768278685286,0.155746599910485,-0.000139782841506346,-0.00953133579085635,"quadratic","deceleration/increase"
"586","MDSCs_MAPKAPK2_IL246",-51.8479432139298,-49.8841431041758,0.256515184091969,3.79787209012074e-06,-0.000186739408722952,"linear","linear"
"587","MDSCs_MAPKAPK2_LPS",7.03923340680389,8.82207963525156,0.926070197808262,7.59520908675733e-05,0.00540188940457291,"linear","linear"
"588","MDSCs_MAPKAPK2_unstim",-50.5995747771417,-49.3226035024271,0.526109752092668,-1.75317334467884e-05,-0.00158851267395408,"linear","linear"
"589","MDSCs_NFkB_GMCSF",-55.7318623111988,-53.7319060453538,0.560526883401642,-1.14983579025194e-07,0.000197910157482446,"linear","linear"
"590","MDSCs_NFkB_IFNa",-55.9566115004242,-54.0618534954851,0.802658620144949,-5.58494222014027e-06,-0.000507288678856945,"linear","linear"
"591","MDSCs_NFkB_IL246",-65.8018690018093,-65.0263559118702,0.87791472376336,-1.31396818700566e-05,-0.000949963860079461,"linear","linear"
"592","MDSCs_NFkB_LPS",-47.6938205881444,-46.5650783779544,0.976378234252279,2.12937192741812e-05,0.0015868159360973,"linear","linear"
"593","MDSCs_NFkB_unstim",-70.4183867911802,-68.9854255315737,0.668536668084356,-7.67103346328164e-06,-0.000666277213543066,"linear","linear"
"594","MDSCs_p38_GMCSF",-35.2895634585153,-33.907056579616,0.559305843433239,2.80440843419453e-05,0.00253816818598355,"linear","linear"
"595","MDSCs_p38_IFNa",-54.3023661064088,-52.431279180582,0.0676940838412316,-6.55461991175153e-06,0.000236375541672207,"linear","linear"
"596","MDSCs_p38_IL246",-48.9624957727572,-48.0918444813602,0.859428127254421,-2.30641089110195e-05,-0.00165429527996794,"linear","linear"
"597","MDSCs_p38_LPS",6.14668889068925,6.40309345965309,0.244560281939118,0.000202924868857553,0.0191029146057514,"linear","linear"
"598","MDSCs_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"599","MDSCs_S6_GMCSF",-27.7739602944953,-25.8985310644509,0.890392232457321,1.6619196568394e-05,0.0013811365848466,"linear","linear"
"600","MDSCs_S6_IFNa",-39.7063690772069,-38.5318506337422,0.033281044009906,2.75913404396337e-05,0.00354416681238412,"linear","linear"
"601","MDSCs_S6_IL246",-25.8910455545289,-24.7515643841338,0.298335372526259,-4.61119107441518e-05,-0.00237750925275866,"linear","linear"
"602","MDSCs_S6_LPS",-38.7051070087634,-37.6968995312687,0.551622896955096,-3.12524296478615e-05,-0.00196113480338229,"linear","linear"
"603","MDSCs_S6_unstim",-34.912054043769,-33.332854092875,0.675775156741947,2.35469378857965e-05,0.00145901664536021,"linear","linear"
"604","MDSCs_STAT1_IFNa",-4.46939119639906,-3.34521016809742,0.00596193885673079,9.99501872651225e-05,0.0146886403520286,"linear","linear"
"605","MDSCs_STAT1_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"606","MDSCs_STAT3_GMCSF",-22.9291788291482,-21.2768591637106,0.191367911409125,-3.2878475446838e-05,-0.00092997657042389,"linear","linear"
