"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"202","CD56hiCD16negNK_MAPKAPK2_unstim",-259.01644456563,-257.035966486335,0.0158923454903809,-6.54453046605369e-05,-0.000100288338926824,"linear","linear"
"203","CD56hiCD16negNK_NFkB_IFNa",-93.116486041961,-91.1311771897939,0.0492795791904264,-9.98193562285487e-05,0.000264431927854824,"linear","linear"
"204","CD56hiCD16negNK_NFkB_IL246",-151.461168748375,-149.58272022192,0.194787242770172,-0.000234883460186177,0.011826496147645,"linear","linear"
"205","CD56hiCD16negNK_NFkB_LPS",-226.041028823564,-224.092096423528,0.334760249725811,0.000118407079921455,-0.00572455002989804,"linear","linear"
"206","CD56hiCD16negNK_NFkB_unstim",-217.655465537278,-215.656064102173,0.609848666557061,-1.3191219027841e-05,-0.000191861339061601,"linear","linear"
"207","CD56hiCD16negNK_p38_unstim",-462.768308930467,-460.865178526225,0.215803272093912,7.28908798986203e-05,-0.00580728187292954,"linear","linear"
"208","CD56hiCD16negNK_S6_IFNa",-298.576603059084,-296.576752047661,0.971314623452849,-4.99769861022436e-06,0.000378429768282205,"linear","linear"
"209","CD56hiCD16negNK_S6_IL246",-226.10522196434,-224.110640912554,0.961706652372084,3.84146907740183e-05,-0.00257432187579187,"linear","linear"
"210","CD56hiCD16negNK_S6_LPS",-302.965252001946,-301.845665113391,0.00796524608477045,0.000377923688033458,-0.0202890192691887,"linear","linear"
"211","CD56hiCD16negNK_S6_unstim",-173.081131413652,-171.087917554157,0.354485788077762,5.16869634589514e-05,-0.00554205462996271,"linear","linear"
"212","CD56hiCD16negNK_STAT1_IFNa",26.8369451705789,22.5134043043783,3.98507310017319e-10,-0.00308118928330754,0.229490415863941,"quadratic","deceleration/increase"
"213","CD56hiCD16negNK_STAT1_IL246",-366.576668434936,-365.463733383618,0.000178715781801959,-0.000303345583019493,0.0242866601200726,"linear","linear"
"214","CD56hiCD16negNK_STAT1_unstim",-626.527499156311,-624.581270353134,0.311842476921546,-3.11158984594767e-05,0.00149325493760383,"linear","linear"
"215","CD56hiCD16negNK_STAT3_IFNa",106.953751650532,101.169782739794,0.000927567129258715,-0.00447833559036234,0.304816648693451,"quadratic","deceleration/increase"
"216","CD56hiCD16negNK_STAT3_IL246",72.3914533001363,69.4527368153389,0.00716774910663003,-0.00319628592211791,0.218780736643318,"quadratic","deceleration/increase"
"217","CD56hiCD16negNK_STAT3_unstim",-103.051346306701,-101.074955422781,0.164975780283017,0.000122333240509528,-0.0121017492455659,"linear","linear"
"218","CD56hiCD16negNK_STAT5_IFNa",17.0344482411562,18.2373227601447,0.00242660249115729,-0.00106803799014911,0.0829363679578026,"linear","linear"
"219","CD56hiCD16negNK_STAT5_IL246",82.8517606110077,81.6778006067365,0.0742598770931546,-0.00266381040169493,0.180218149334574,"quadratic","deceleration/increase"
"220","CD56hiCD16negNK_STAT5_unstim",-148.177032875613,-148.51387563738,0.216560238032137,0.00103980953228141,-0.0694027954753785,"quadratic","deceleration/decrease"
"221","CD56hiCD16negNK_STAT6_IFNa",-137.380380864498,-140.63470064567,0.0762595211939147,-0.00160953514573267,0.103869632769802,"quadratic","deceleration/increase"
"222","CD56hiCD16negNK_STAT6_IL246",116.611324134318,112.185504404215,0.0429305995946375,-0.00423128983855535,0.273387986001428,"quadratic","deceleration/increase"
"223","CD56hiCD16negNK_STAT6_unstim",-480.208153918659,-478.945870058195,0.0844258221861591,0.000189360323684619,-0.0136752141779345,"linear","linear"
"224","CD56loCD16posNK_CREB_IFNa",-797.285504145311,-795.288577815063,0.0131185490112768,4.34859644416381e-06,0.000460560065403065,"linear","linear"
"225","CD56loCD16posNK_CREB_IL246",-579.338339506809,-578.524169590387,0.834924416595142,-0.000176273501333989,0.011521103198259,"linear","linear"
